metric,n,mean,median,sd,ci95_low,ci95_high,min,max
engagement_score,256,0.5883135400218606,0.587621049876466,0.01646609469113011,0.5863488186544704,0.5903449926938937,0.5487077253786,0.6586198897975863
coherence,256,0.6683352285234089,0.6694380451332439,0.03923770238653289,0.6635613597170132,0.6730666678195121,0.5536001920700073,0.7976478392427618
windowed_coherence,256,0.6988991942807017,0.6991964876651764,0.030548467495533364,0.6952412665718426,0.7025463454848664,0.6121176210316744,0.8043395660140298
topic_consistency,256,0.595187089483564,0.598237831145525,0.04474457666205545,0.5897211845850203,0.6007201320324383,0.5036997174223264,0.7131471733252207
novelty,256,0.3316647714765912,0.3305619548667561,0.03923770238653289,0.3269333321804879,0.3364386402829868,0.20235216075723822,0.4463998079299927
turn_balance,256,1.0,1.0,0.0,1.0,1.0,1.0,1.0
token_balance,256,0.597893712321123,0.5904451549434333,0.2181980391209613,0.5706155142394062,0.6236705017356294,0.09554140127388536,1.0
question_rate,256,0.12662760416666669,0.08333333333333333,0.1009085016302032,0.11424967447916666,0.1396484375,0.0,0.4166666666666667
engagement_sensitivity_no_turn_balance,256,0.5425706000242897,0.5418011665294067,0.018295660767922346,0.540387576282745,0.544827769659882,0.49856413930955557,0.6206887664417626
