participant_id,model_size,personality_context_enabled,topic_preference,engagement_score,coherence,windowed_coherence,topic_consistency,novelty,turn_balance,token_balance,question_rate,engagement_sensitivity_no_turn_balance
P-2644CBC033,medium,0,high,0.5979078298491058,0.6745644916187633,0.706505073742433,0.6332518296937147,0.3254355083812367,1.0,0.9590791137134873,0.125,0.5532309220545621
P-2644CBC033,medium,0,low,0.5977927621115338,0.6313740760087967,0.6931572908704932,0.6676194816827774,0.3686259239912033,1.0,0.8825757575757576,0.125,0.5531030690128154
P-2644CBC033,medium,1,high,0.5863016746712453,0.648707235401327,0.6892669065432115,0.6470545157790184,0.3512927645986731,1.0,0.7634507778392671,0.041666666666666664,0.5403351940791614
P-2644CBC033,medium,1,low,0.6011218791206678,0.6940124387090856,0.7210288020697507,0.6459077075123787,0.30598756129091437,1.0,0.8558608058608059,0.08333333333333333,0.5568020879118531
P-2644CBC033,small,0,high,0.5739798783578656,0.6049532727761702,0.6648205708373677,0.5901021845638752,0.3950467272238298,1.0,0.4350027367268746,0.125,0.5266443092865173
P-2644CBC033,small,0,low,0.5647007803347979,0.6082187755541368,0.6577512405135415,0.549143273383379,0.39178122444586316,1.0,0.26168699186991873,0.125,0.5163342003719975
P-2644CBC033,small,1,high,0.5765323195267809,0.6790882755409589,0.70026034116745,0.5928571186959743,0.32091172445904126,1.0,0.37922297297297297,0.0,0.5294803550297564
P-2644CBC033,small,1,low,0.5773427766380889,0.6656353717500514,0.7047729031606154,0.536623294154803,0.33436462824994867,1.0,0.3506849315068493,0.125,0.5303808629312099
P-2DB0DA1D0E,medium,0,high,0.5917217119850895,0.6825735027139836,0.7059174857356332,0.6197376561661561,0.3174264972860163,1.0,0.8212023905093212,0.08333333333333333,0.5463574577612107
P-2DB0DA1D0E,medium,0,low,0.6101258500958935,0.7175943092866377,0.7444584423845464,0.6140403201182683,0.28240569071336225,1.0,0.8360881542699725,0.16666666666666666,0.5668065001065483
P-2DB0DA1D0E,medium,1,high,0.5975727590421837,0.6941604749722914,0.7182913205840371,0.6308255704740684,0.3058395250277086,1.0,0.6442307692307693,0.08333333333333333,0.5528586211579818
P-2DB0DA1D0E,medium,1,low,0.6231584618037398,0.7275324138728054,0.744117184118791,0.6537422512968382,0.2724675861271945,1.0,0.7538121170864533,0.20833333333333331,0.581287179781933
P-2DB0DA1D0E,small,0,high,0.5831033888639825,0.675929074937647,0.7014154954390093,0.56363691141208,0.32407092506235297,1.0,0.777014652014652,0.125,0.5367815431822028
P-2DB0DA1D0E,small,0,low,0.5971010780018388,0.7102370072494855,0.7227255837483839,0.6159946359694004,0.28976299275051465,1.0,0.7345652173913043,0.08333333333333333,0.5523345311131542
P-2DB0DA1D0E,small,1,high,0.5927197018130259,0.695705153725364,0.7242390405048024,0.5790068916976452,0.304294846274636,1.0,0.6747703515996198,0.125,0.5474663353478066
P-2DB0DA1D0E,small,1,low,0.5886156425331579,0.6574779423800382,0.6829832087863575,0.5771893660227457,0.3425220576199618,1.0,0.7974380630630631,0.20833333333333331,0.5429062694812865
P-41FE7B6C8E,medium,0,high,0.5762009259877783,0.6486610472202301,0.6682167757641185,0.5967906638979912,0.3513389527797699,1.0,0.4381920580374189,0.08333333333333333,0.5291121399864203
P-41FE7B6C8E,medium,0,low,0.5985504844423497,0.6686264330690557,0.703237612139095,0.6427015935381253,0.3313735669309443,1.0,0.4594276334570368,0.125,0.553944982713722
P-41FE7B6C8E,medium,1,high,0.5772736482999542,0.609691167419607,0.6472723104737022,0.5800836806495984,0.390308832580393,1.0,0.43373952779893377,0.20833333333333331,0.5303040536666157
P-41FE7B6C8E,medium,1,low,0.5917848208636949,0.6952734968879006,0.7175523990934545,0.622901623447736,0.30472650311209937,1.0,0.4340430201931519,0.041666666666666664,0.5464275787374387
P-41FE7B6C8E,small,0,high,0.6047801510176876,0.6941827102140947,0.7183721471916545,0.5209372527897358,0.30581728978590533,1.0,0.2839506172839506,0.375,0.5608668344640972
